STT,Câu hỏi,1,2,3,4,Đáp án
311,"Chọn đáp án ĐÚNG về bảo đảm bí mật thông tin, hồ sơ, tài liệu, báo cáo trong công tác phòng, chống rửa tiền",Người quản lý của đối tượng báo cáo  được phép tiết lộ thông tin về việc đã báo cáo giao dịch đáng ngờ hoặc các thông tin có liên quan đến giao dịch đáng ngờ cho Ngân hàng Nhà nước Việt Nam,"Đối tượng báo cáo, người quản lý, người lao động thuộc đối tượng báo cáo không được tiết lộ thông tin về việc đã báo cáo giao dịch đáng ngờ hoặc các thông tin có liên quan đến giao dịch đáng ngờ cho Ngân hàng Nhà nước Việt Nam","Đối tượng báo cáo, người lao động thuộc đối tượng báo cáo phải cung cấp thông tin về việc đã báo cáo giao dịch đáng ngờ hoặc các thông tin có liên quan đến giao dịch đáng ngờ cho Ngân hàng Nhà nước","Đối tượng báo cáo, người lao động thuộc đối tượng báo cáo được phép tiết lộ với khách hàng về việc đã báo cáo giao dịch đáng ngờ cho Ngân hàng Nhà nước",2
312,Chọn đáp án đúng về đánh giá rủi ro quốc gia về rửa tiền,"Đối với tiêu chí nguy cơ rửa tiền: điểm 5 là có nguy cơ rửa tiền thấp, điểm 1 là có nguy cơ rửa tiền cao.","Đối với tiêu chí mức độ phù hợp của các chính sách, biện pháp phòng, chống rửa tiền: điểm 5 là có mức độ phù hợp của các chính sách, biện pháp phòng, chống rửa tiền thấp, điểm 1 là có mức độ phù hợp của các chính sách, biện pháp phòng, chống rửa tiền cao.","Đối với tiêu chí hậu quả của rửa tiền: điểm 5 là có hậu quả của rửa tiền thấp, điểm 1 là có hậu quả của rửa tiền cao.",,2
313,Chọn đáp án đúng về hình thức xử phạt bổ sung theo Nghị định số 88/2019/NĐ-CP,Phạt tiền,"Tịch thu tang vật, phương tiện được sử dụng để vi phạm hành chính, tịch thu giấy phép đã bị tẩy xóa, sửa chữa, tịch thu ngoại tệ, đồng Việt Nam, tịch thu vàng",Cảnh cáo,Yêu cầu khắc phục hậu quả,2
314,Chọn đáp án đúng về hình thức xử phạt hành chính theo Nghị định số 88/2019/NĐ-CP,Tịch thu tang vật,Phạt tiền,Đình chỉ hoạt động,Tước quyền sử dụng giấy phép có thời hạn,2
315,"Chọn đáp án ĐÚNG về nhiệm vụ của Phòng Kiểm tra giám sát thuộc Trung tâm Phòng, chống rửa tiền?","Tiếp nhận thông tin, báo cáo theo quy định của pháp luật về phòng, chống rửa tiền, tài trợ khủng bố","Tiếp nhận, xử lý thông tin từ kết quả kiểm tra, giám sát hoạt động phòng, chống rửa tiền do các đơn vị tại Trụ sở chính và cơ quan chức năng thực hiện",Tổ chức thực hiện kiểm tra toàn diện các đơn vị trong hệ thống,"Tổ chức thực hiện giám sát thường xuyên đối với các đơn vị về các mặt nghiệp vụ kinh doanh, quản lý tài sản",2
316,"Chọn đáp án ĐÚNG về nhiệm vụ của Phòng Thu thập và xử lý thông tin thuộc Trung tâm Phòng, chống rửa tiền?","Tiếp nhận thông tin, báo cáo theo quy định của pháp luật về phòng, chống rửa tiền, tài trợ khủng bố và các thông tin khác nghi ngờ liên quan đến rửa tiền, tài trợ khủng bố hoặc hành vi khác liên quan đến rửa tiền","Quản trị, vận hành phần mềm phòng, chống rửa tiền, tài trợ khủng bố; rà soát, cập nhật danh sách cảnh báo, danh sách đen, danh sách cấm vận.","Tham mưu triển khai, ứng dụng công nghệ vào công tác phòng, chống rửa tiền, tài trợ khủng bố.",Phối hợp các đơn vị liên quan đánh giá rủi ro rửa tiền tại Agribank.,1
317,"Chọn đáp án ĐÚNG về nhiệm vụ của Phòng Tổng hợp thuộc Trung tâm Phòng, chống rửa tiền",Phối hợp các đơn vị liên quan đánh giá rủi ro khủng bố,Phối hợp các đơn vị liên quan đánh giá rủi ro rửa tiền tại Agribank,Phối hợp các đơn vị liên quan đánh giá rủi ro tín dụng tại Agribank,,2
318,Chọn đáp án đúng về nội dung giám sát của các đơn vị thành viên Trụ sở chính đối với các Chi nhánh,Việc giám sát chỉ được phép triên khai độc lập,Việc giám sát có thể triên khai độc lập hoặc kết hợp với công tác tự kiểm tra tại Chi nhánh,Việc giám sát bắt buộc phải kết hợp với công tác tự kiểm tra tại Chi nhánh,,2
319,"Chọn đáp án SAI về nhiệm vụ của Phòng Tổng hợp thuộc Trung tâm Phòng, chống rửa tiền","Triển khai công tác tuyên truyền về phòng, chống rửa tiền","Triển khai công tác tuyên truyền về phòng, chống rửa tiền, tài trợ khủng bố","Xây dựng kế hoạch đào tạo, triển khai công tác truyền thông trong hệ thống Agribank","Xây dựng kế hoạch đào tạo về phòng, chống rửa tiền, tài trợ khủng bố",3
320,"Chọn đáp án sai: Theo Luật Nhà ở 2014, giao dịch nào về nhà ở sau đây thì nhà ở KHÔNG bắt buộc phải có Giấy chứng nhận?","Mua bán, thế chấp nhà ở hình thành trong tương lai.",Nhận thừa kế nhà ở.,Mua bán nhà ở có sẵn.,"Tổ chức thực hiện tặng cho nhà tình nghĩa, nhà tình thương.",3
321,Chọn phương án đúng nhất.,"A. Hội đồng thành viên, Tổng Giám đốc xem xét, phê duyệt các khoản vay vượt thẩm quyền của Chi nhánh loại I (bao gồm cả các khoản vay vượt quyền phán quyết do Chi nhánh loại II tiếp nhận và thẩm định).",B. Chỉ Tổng Giám đốc mới quyết định cho vay đối với các khoản vay thuộc thẩm quyền Tổng Giám đốc.,"C. Giám đốc Chi nhánh loại I (bao gồm cả người được Giám đốc phân công, ủy quyền) quyết định cho vay đối với các khoản vay thuộc thẩm quyền và các khoản vay vượt thẩm quyền đã được phê duyệt.",D. Tất cả các phương án trên.,3
322,"Chọn phương án đúng nhất:  Agribank nơi cho vay xác định thời hạn cho vay, kỳ hạn trả nợ đối với cho vay phục vụ nhu cầu hoạt động kinh doanh căn cứ vào:","A. Chu kỳ hoạt động kinh doanh, thời hạn thu hồi vốn của dự án.",B. Khả năng trả nợ của khách hàng; không được cho vay quá thời hạn được phép cư trú còn lại tại Việt Nam (đối với cá nhân nước ngoài).,"C. Chu kỳ hoạt động kinh doanh, thời hạn thu hồi vốn của phương án, dự án; Khả năng trả nợ của khách hàng; Nguồn vốn của Agribank; Thời hạn cho vay không được vượt quá thời hạn hoạt động hợp pháp còn lại theo quyết định thành lập hoặc giấy phép hoạt động tại Việt Nam (đối với pháp nhân).",D. Không có đáp án đúng.,3
323,Chọn phương án đúng nhất:  Vốn đối ứng được hiểu là:,A. Vốn tự có của khách hàng.,"B. Vốn tự có của khách hàng và/hoặc vốn khách hàng chiếm dụng, vốn vay của tổ chức, cá nhân khác tham gia vào Dự án đầu tư, phương án sản xuất kinh doanh.","C. Vốn của khách hàng tham gia vào phương án sử dụng vốn. Vốn đối ứng có thể bằng tiền, giá trị tài sản.","D. Vốn của khách hàng tham gia vào phương án sử dụng vốn. Vốn đối ứng có thể bằng tiền, giá trị tài sản, đối với cá nhân vay vốn đáp ứng nhu cầu hoạt động kinh doanh, giá trị vốn đối ứng có thể tính cả chi phí nhân công khi khách hàng trực tiếp tham gia phương án, dự án.",4
324,Chủ dự án chung cư cao cấp X quyết định thế chấp 1/3 số căn hộ của tòa nhà chung cư X để vay vốn ngân hàng.,A. Tài sản thế chấp được quy định trong hợp đồng bảo đảm vốn vay ngân hàng.,"B. Là một phần tài sản thế chấp vì toàn bộ trang thiết bị phòng cháy, chữa cháy của tòa nhà X thuộc tài sản thế chấp.",C. Không phải là tài sản thế chấp.,D. Không đáp án nào đúng,1
325,Chữ ký trên Ủy nhiệm chi chỉ được,Ký bằng mực đỏ,Ký lồng giấy than,Đóng dấu chữ ký khắc sẵn,"Ký tay từng tờ bằng bút mực màu xanh/đen, không phai màu",4
326,Chủ sở hữu hưởng lợi của tổ chức là cá nhân thực tế nắm giữ trực tiếp hoặc gián tiếp vốn điều lệ với tỷ lệ nào sau đây?,Từ 10% trở lên,Từ 15% trở lên,Từ 20% trở lên,Từ 25% trở lên,4
327,Chủ tài khoản có các quyền nào sau đây?,Uỷ quyền cho người khác sử dụng tài khoản thanh toán theo quy định pháp luật,"Sử dụng số tiền trên tài khoản thanh toán của mình để thực hiện các lệnh thanh toán hợp pháp, hợp lệ.",Chấp hành các quy định về mở và sử dụng tài khoản thanh toán tại Quyết định này và quy định của pháp luật.,"Sử dụng số tiền trên tài khoản thanh toán của mình để thực hiện các lệnh thanh toán hợp pháp, hợp lệ; Uỷ quyền cho người khác sử dụng tài khoản thanh toán theo quy định pháp luật",4
328,Chủ tài khoản thanh toán mở bằng phương thức điện tử không được thực hiện giao dịch/hành vi nào?,Nhận tiền vào tài khoản không hạn chế số tiền giao dịch.,Ủy quyền sử dụng tài khoản thanh toán trên các phương tiện thanh toán điện tử của Agribank.,"Chuyển khoản để mở tài khoản tiền gửi tiết kiệm, tiền gửi có kỳ hạn của chính khách hàng trong hệ thống Agribank.",Không có đáp án đúng.,2
329,Chủ tài khoản Tiết kiệm an sinh có thể gửi tiền vào tài khoản tại Agribank khi nào?,A. Khách hàng có thể gửi trước ngày định kỳ gửi tiền.,B. Khách hàng phải gửi theo định kỳ đã đăng ký khi mở tài khoản.,C. Khách hàng có thể gửi trễ hạn so với định kỳ gửi tiền tối đa 03 định kỳ liên tiếp.,D. Bất kỳ khi nào khách hàng có nhu cầu. Lần tích lũy cuối cùng trước ngày đến hạn tối thiểu 01 tháng.,4
330,"Chủ thẻ Agribank có quyền thực hiện tra soát, khiếu nại giao dịch thẻ tại đâu ?",Trung tâm Thẻ Agribank,Tổ chức thẻ quốc tế,"Bất kỳ chi nhánh nào của Agribank hoặc qua Trung tâm chăm sóc, hỗ trợ khách hàng",Tổ chức chuyển mạch thẻ Napas,3
331,"Chủ thẻ Agribank có thể thực hiện tra soát, khiếu nại trong trường hợp nào ?",Chủ thẻ không thực hiện giao dịch nhưng tài khoản vẫn bị trừ tiền.,"Chủ thẻ không nhận được hàng hóa, dịch vụ như yêu cầu và đã liên hệ với ĐVCNT nhưng không được giải quyết.",Chủ thẻ đã nhận được hàng hóa nhưng hàng hóa không như mô tả.,Tất cả các đáp án đều đúng,4
332,Chủ thẻ có thể thực hiện giao dịch nào trên ứng dụng Agribank E-Mobile banking,"Khóa thẻ, đăng ký dịch vụ 3D Secure","Thay đổi hạn mức giao dịch thẻ, sao kê thẻ tín dụng","Chuyển khoản liên ngân hàng, đăng ký giao dịch Internet",Tất cả các phương án trên,4
333,Chủ thẻ có thể thực hiện giao dịch nào trên ứng dụng Agribank E-Mobile banking?,"Khóa thẻ, đăng ký dịch vụ 3D Secure.","Thay đổi hạn mức giao dịch thè, sao kê thẻ tín dụng.","Chuyền khoản liên ngân hàng, đăng ký giao dịch Internet.",Tất cả các đáp án trên.,4
334,"Chủ thể nào được quyền xem xét miễn giảm lãi tiền vay, phí vay vốn:","A. Agribank có quyền xem xét quyết định miễn, giảm lãi tiền vay, phí cho vay khách hàng vay vốn theo quy định do HĐTV ban hành.","B. Ngân hàng Nhà Nước có quyền xem xét quyết định miễn, giảm lãi tiền vay, phí cho vay khách hàng vay vốn theo quy định do HĐTV ban hành.","C. Tổng giám đốc có quyền xem xét quyết định miễn, giảm lãi tiền vay, phí cho vay khách hàng vay vốn theo quy định do HĐTV ban hành.","D. Giám đốc chi nhánh có quyền xem xét quyết định miễn, giảm lãi tiền vay, phí cho vay khách hàng vay vốn theo quy định do HĐTV ban hành.",1
335,Chủ thẻ sử dụng sản phẩm thẻ nào của Agribank để thực hiện giao dịch rút tiền bằng mã?,Thẻ ghi nợ,Thẻ tín dụng,Tất cả các sản phẩm thẻ.,Tất cả các sản phẩm thẻ quốc tế,1
336,Chủ thẻ sử dụng sàn phẩm thẻ nào của Agribank để thực hiện tạo mã giao dịch rút tiền bằng mã tại ATM?,Thẻ ghi nợ.,Thẻ tín dụng.,Tất cả các sản phẩm thẻ.,Tất cả các sản phẩm thè quốc tế.,1
337,Chù thè thẻ ghi nợ nội địa có thể rút tiền mặt tại:,POS tại quầy giao dịch.,POS tại ĐVCNT.,Tại máy ATM cùa Agribank và các ngân hàng thành viên khác của Napas.,Cả 1 & 3 đều đúng.,4
338,Chủ thẻ thẻ ghi nợ nội địa có thể rút tiền mặt tại:,POS tại quầy giao dịch của Agribank,POS tại ĐVCNT,Tại máy ATM của Agribank,Phương án 1 và 3 đều đúng,4
339,Chủ thẻ thực hiện đổi mã PIN qua những kênh nào ?,Tại ATM của Agribank,Trên ứng dụng Agribank Emobile banking,Tại quầy giao dịch của Agribank,Cả 3 đáp án trên đều đúng,4
